,Index,Name,Type,real_urls,status,owner/org_type,address,mark_owner_or_clerk,filing_date
46,13,MAINELY BARGAINS LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20153796DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"PO BOX 214 , BAR MILLS, ME 04004",KELLI KELIEHOR,03/25/2015
47,14,MAINELY BARK COMPANY,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19961078+D,GOOD STANDING,BUSINESS CORPORATION,"84 HARLOW STREET , P.O. BOX 1401, BANGOR, ME 04402 1401",CURTIS E. KIMBALL,12/05/1995
48,15,"MAINELY BARTENDERS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20083424DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"PO BOX 248 , ROCKLAND, ME 04841 0248",PATRICK J. MELLOR,04/30/2008
49,16,"MAINELY BBQ & CO., LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20101773DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"18 ENGLISH DR , ELIOT, ME 03903",JOSEPH A MARTEL,01/11/2010
50,17,"MAINELY BEANS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20073656DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"86 BURWELL AVENUE , SOUTH PORTLAND, ME 04106",KERRY HAMMOND,05/22/2007
51,18,MAINELY BEANS,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19930829+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"P. O. BOX 264 , PINE MOUNTAIN ROAD, YORK BEACH, ME 03910",CAROL A. MERCER,11/09/1992
52,19,MAINELY BEES LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20187345DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"RR 13 BOX 1776 , HOLDEN, ME 04429 9400",JOANNA DUBLIN,06/21/2018
53,20,"MAINELY BENEFICIALS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20160292DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"14 MAINE STREET , SUITE 207, BRUNSWICK, ME 04011","JAMES M WHITTEMORE, ESQ.",07/20/2015
54,21,MAINELY BENEFITS LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20171723DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"37 HIGH ST. , GUILFORD, ME 04443",STEPHANIE A. HEWITT,10/11/2016
55,22,MAINELY BERRIES OF SOUTH BERWICK MAINE 03908,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=19950301+M,EXPIRED,INDIVIDUAL,"24 SPRINGTREE LANE , SOUTH BERWICK, ME 04908",SANDRA J. CHARETTE,05/16/1995
56,23,MAINELY BIBS,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19932363+D,ADMINISTRATIVELY SUSPENDED,BUSINESS CORPORATION,"75 PEARL STREET , PORTLAND, ME 04101",TIMOTHY P. BROOKS,06/07/1993
57,24,MAINELY BINGO,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19991560+D,GOOD STANDING,BUSINESS CORPORATION,"216 RIDGE RD , LISBON FALLS, ME 04252",SHELLY RAE KESARIS,02/22/1999
58,25,MAINELY BINGO,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=19980373+M,ACTIVE,INDIVIDUAL,"4 MILL ST , AUBURN, ME 04210","ARTHUR N. KESARIS, III",06/19/1998
59,26,MAINELY BIRCHES,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=20000124+M,EXPIRED,INDIVIDUAL,"173 CONROY ROAD , PERHAM, ME 04766",LINWOOD G. MOODY,11/15/1999
60,27,MAINELY BLESSINGS LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20174231DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"PO BOX 236 , BERWICK, ME 03901",LAURA SUTHERLAND,02/24/2017
61,28,"MAINELY BLOOMS,LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20195785DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"PRESCOTT JAMIESON MURPHY LAW GROUP , 37 BEACH STREET, SACO, ME 04072",TIM MURPHY,03/28/2019
62,29,"MAINELY BOATS, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20170561+D,GOOD STANDING,BUSINESS CORPORATION,"P.O. BOX 664,   ,  ROCKLAND, ME 04841",STEPHEN W. HANSCOM,01/27/2017
63,30,"MAINELY BOOKKEEPING, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20191737DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"295 GEORGES POND RD , FRANKLIN, ME 04634",SARA MERCHANT,09/21/2018
64,31,MAINELY BOOKS,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20100984+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"534 CONGRESS STREET , PORTLAND, ME 04101",LEO C. PELLETIER,04/26/2010
65,32,MAINELY BOOZE,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20122872DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"""MERRILLS WHARF"",   254 COMMERCIAL STREET,  PORTLAND, ME 04101",CHARLES M. GRACEFFA,03/23/2012
66,33,MAINELY BRASS,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19890510+D,ADMINISTRATIVELY SUSPENDED,BUSINESS CORPORATION,"RIDGE ROAD , PO BOX 603, WATERVILLE, ME 04901",DANIEL PINNETTE,08/12/1988
67,34,"MAINELY BREAD, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20140274+D,GOOD STANDING,BUSINESS CORPORATION,"128 STATE STREET #3,   ,  AUGUSTA, ME 04330",DEBRA E BILODEAU,09/30/2013
68,35,MAINELY BREADS INC.,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20140342+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"315 HATCHET MOUNTAIN RD,   ,  HOPE, ME 04847",MARY  BERRY,09/30/2013
69,36,MAINELY BREWS RESTAURANT & BREWHOUSE,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20081457+D,GOOD STANDING,BUSINESS CORPORATION,"ONE POST OFFICE SQUARE , WATERVILLE, ME 04901",LUKE DUPLESSIS,04/23/2008
70,37,"MAINELY BROTHERS PROPERTIES, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20175383DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"PO BOX 1401 , BANGOR, ME 04402 1401",CHRISTOPHER J. AUSTIN,04/28/2017
71,38,MAINELY BUBBAS LIMITED LIABILITY COMPANY,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19960059DC,ADMINISTRATIVELY SUSPENDED,LIMITED LIABILITY COMPANY   (DOMESTIC),"P. O. BOX 7046 , PORTLAND, ME 04112 7046",THOMAS G. LEAHY,10/24/1995
72,39,MAINELY BUBBLES LAUNDROMAT,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20070318+D,GOOD STANDING,BUSINESS CORPORATION,"798 MAIN STREET , SOUTH PORTLAND, ME 04106",JEFFREY J. LAPOINTE,09/01/2006
73,40,MAINELY BUILDERS LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20050591DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"49 PLEASANT STREET , BRUNSWICK, ME 04011",EDGAR S CATLIN III,08/31/2004
74,41,MAINELY BUOYS LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20155293DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"32 TYLER AVE , BANGOR, ME 04401",DIANE O. PUSHARD,06/23/2015
75,42,"MAINELY BURGERS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20122872DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"""MERRILLS WHARF"",   254 COMMERCIAL STREET,  PORTLAND, ME 04101",CHARLES M. GRACEFFA,03/23/2012
76,43,MAINELY BUZZED,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=20200043+M,ACTIVE,INDIVIDUAL,"39 SULLIVAN WAY , TROY, ME 04987","JOHN LOCKWOOD SULLIVAN, OWNER",08/30/2019
77,1,"BOONDOCKS, MAINE-LY COMFORT FOODS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20176660DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"1398 PARK STREET , LIVERMORE FALLS, ME 04254",CHARLENE TOWNSEND MARQUIS,06/13/2017
78,2,MAINE-LY CLASSICS,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19921314+D,ADMINISTRATIVELY SUSPENDED,BUSINESS CORPORATION,"56 INDUSTRIAL PARK RD. #6 , SACO, ME 04072",ANTHONY J. CONSIGLIO,02/06/1992
79,3,"MAINE-LY CLOCKS, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19962816+D,DISSOLVED,BUSINESS CORPORATION,"PO BOX 1815,   ,  STANDISH, ME 04084",RICHARD G. STEEVES,06/20/1996
80,4,"MAINE-LY CONCRETE PUMPING, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20021594+D,GOOD STANDING,BUSINESS CORPORATION,"PO BOX 460,   ,  DAMARISCOTTA, ME 04543",CLAYTON  HOWARD,03/06/2002
81,5,"MAINE-LY CONCRETE, CORP.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19992462+D,GOOD STANDING,BUSINESS CORPORATION,"PO BOX 460,   ,  DAMARISCOTTA, ME 04543",CLAYTON  HOWARD,06/14/1999
82,6,"MAINE-LY COUNTRY WESTERN WEAR, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19741136+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"166 YARMOUTH RD. , GRAY, ME 04039",ARLINE F. FOSTER,04/12/1974
83,7,"MAINELY CABLE, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19890390ND,ADMINISTRATIVELY SUSPENDED,NONPROFIT CORPORATION       (T13-B),"14 HERBERT DRIVE , SCARBORO, ME 04074",DEBORAH A. CASSIDY,02/17/1989
84,8,"MAINELY CALIFORNIA, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19970330DC,CANCELLED,LIMITED LIABILITY COMPANY   (DOMESTIC),"P.O. BOX 1287 , KENNEBUNKPORT, ME 04046",DARLENE INKS,04/10/1997
85,9,MAINELY CANDY LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20141253DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"PO BOX 7158 , LEWISTON, ME 04243",RICK DOUCETTE,10/15/2013
86,10,MAINELY CANNABIS LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20152996DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"3 CHURCH ST. , JAY, ME 04239",JOHN RICHARD,02/04/2015
87,11,MAINELY CANVAS,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19961972+D,GOOD STANDING,BUSINESS CORPORATION,"SAWYER, SAWYER & MINOTT, P.A. , PO BOX 58   157 MAIN STREET, GORHAM, ME 04038",JOHN W. SAWYER,03/15/1996
88,12,MAINELY CAREGIVING,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20141253DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"PO BOX 7158 , LEWISTON, ME 04243",RICK DOUCETTE,10/15/2013
89,13,"MAINELY CARPENTRY, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19862581+D,ADMINISTRATIVELY SUSPENDED,BUSINESS CORPORATION,"10 MINOT AVENUE , P.O. BOX 470, AUBURN, ME 04210",M. KELLY MATZEN,06/02/1986
90,14,MAINELY CATS LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20196825DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"3 GERBER LANE , MONMOUTH, ME 04259",CAROL L. FRACE,05/08/2019
91,15,MAINELY CBD L.L.C.,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20197501DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"14 GOVERNMENT STREET , KITTERY, ME 03904",RICHARD N. FOLEY,06/12/2019
92,16,"MAINELY CENTRAL VACS, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19962503+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"P.O. BOX 335 , OAKLAND, ME 04963",STEVEN KADNER,05/13/1996
93,17,MAINELY CHARACTER,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20010045ND,GOOD STANDING,NONPROFIT CORPORATION       (T13-B),"PO BOX 9729 , PORTLAND, ME 04104 5029",NELSON A. TONER,08/01/2000
